
70 100 100 97 70 81 45 65 30 49 20 33 0 16 0 0 0 1 0 0 0
27 73 81 100 83 91 78 52 62 14 0 0 29 1 100 5 0 1 0 0 0
0 50 41 69 76 90 100 100 89 74 78 50 70 25 68 0 0 1 0 0 0
2 75 37 100 56 99 58 61 46 25 0 0 34 5 100 8 0 1 0 0 0
0 55 46 58 73 82 100 100 92 75 89 50 84 25 89 0 0 1 0 0 0
22 72 55 100 54 89 53 50 55 12 0 1 49 0 100 4 0 1 0 0 0
88 100 100 95 75 79 38 64 25 47 12 32 0 16 12 0 0 1 0 0 0
53 64 73 100 70 83 67 42 36 11 0 0 49 4 100 9 0 1 0 0 0
0 39 30 69 48 100 39 69 41 35 33 5 31 2 100 0 0 1 0 0 0
100 100 79 86 62 71 50 57 33 43 21 28 8 14 0 0 0 1 0 0 0
27 50 56 89 64 100 55 52 35 9 0 2 52 2 100 0 0 1 0 0 0
15 70 48 100 63 89 57 56 67 24 15 1 0 0 100 0 0 1 0 0 0
45 69 74 100 68 94 57 50 39 9 0 3 50 3 100 0 0 1 0 0 0
100 100 70 86 53 72 37 58 20 43 10 29 0 14 13 0 0 1 0 0 0
100 100 82 91 64 75 50 59 27 43 14 27 0 11 0 0 0 1 0 0 0
7 59 29 100 31 91 32 46 31 1 0 0 54 1 100 0 0 1 0 0 0
18 73 62 100 53 85 53 53 52 20 0 0 8 6 100 6 0 1 0 0 0
9 49 42 63 82 85 100 100 76 74 51 48 29 22 0 0 0 1 0 0 0
0 61 29 88 51 100 43 66 43 32 23 0 11 2 100 3 0 1 0 0 0
0 66 39 83 100 100 100 82 84 62 68 41 58 20 50 0 0 1 0 0 0
0 73 27 86 73 100 100 98 89 72 83 46 82 20 85 0 0 1 0 0 0
0 69 47 81 88 100 100 91 91 68 76 45 71 22 68 0 0 1 0 0 0
100 100 93 86 73 72 57 57 40 44 23 29 10 15 0 0 0 1 0 0 0
0 73 40 98 58 100 55 64 58 27 24 3 43 0 100 4 0 1 0 0 0
18 72 25 100 24 70 22 34 17 0 0 2 51 2 100 2 0 1 0 0 0
0 55 20 68 65 88 100 100 76 75 51 50 28 25 11 0 0 1 0 0 0
100 100 70 89 57 74 43 59 35 45 17 29 9 14 0 0 0 1 0 0 0
0 54 47 78 69 100 53 68 33 35 0 6 31 0 100 7 0 1 0 0 0
100 100 83 96 67 80 50 64 37 48 20 32 7 16 0 0 0 1 0 0 0
0 62 47 88 67 100 63 65 59 29 46 2 34 0 100 0 0 1 0 0 0
79 89 100 100 79 83 57 67 36 50 18 34 7 17 0 0 0 1 0 0 0
0 53 34 82 45 100 43 65 50 30 40 0 37 2 100 7 0 1 0 0 0
0 50 32 76 60 100 63 64 62 29 30 6 40 1 100 0 0 1 0 0 0
4 63 28 100 35 82 28 37 0 6 2 10 51 7 100 0 0 1 0 0 0
100 100 77 87 57 72 40 58 26 45 14 30 3 14 0 0 0 1 0 0 0
4 64 27 100 31 83 26 39 0 8 5 3 52 2 100 0 0 1 0 0 0
0 67 44 80 88 100 100 88 88 66 69 44 50 22 50 0 0 1 0 0 0
21 64 34 100 39 92 41 55 41 18 0 1 34 0 100 1 0 1 0 0 0
0 56 32 78 78 98 100 100 85 75 76 50 73 24 76 0 0 1 0 0 0
0 51 25 69 65 88 100 100 82 76 65 50 55 26 51 0 0 1 0 0 0
5 58 39 100 47 99 41 42 12 0 0 5 55 4 100 6 0 1 0 0 0
0 61 34 81 84 100 100 94 84 71 70 47 55 24 48 0 0 1 0 0 0
0 33 35 52 66 75 96 100 100 96 79 66 61 33 49 0 0 1 0 0 0
0 59 40 78 76 100 100 100 82 75 62 49 40 25 29 0 0 1 0 0 0
23 68 46 100 46 85 47 48 43 12 0 0 54 4 100 2 0 1 0 0 0
100 100 72 86 52 71 34 57 17 43 7 29 0 14 0 0 0 1 0 0 0
30 68 63 99 76 100 65 60 44 23 0 0 46 2 100 10 0 1 0 0 0
0 54 30 84 54 100 53 64 46 27 5 0 41 0 100 4 0 1 0 0 0
0 75 60 100 69 89 66 51 73 13 13 2 35 0 100 3 0 1 0 0 0
0 73 7 84 63 100 100 98 88 73 80 49 74 24 77 0 0 1 0 0 0
